Source (A),Source (B),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1222504134328356865,Coronavirus: French Asians hit back at racism with 'I'm not a virus' https://t.co/B0IlgPmPuB,17,85.92,3.89,66.34,25.77,17.0,11.76,47.06,35.29,5.88,5.88,5.88,0.0,0.0,0.0,0.0,0.0,5.88,11.76,5.88,5.88,0.0,5.88,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,11.76,0.0,11.76,5.88,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,0.0,41.18,5.88,0.0,5.88,0.0,0.0,0.0,0.0,0.0,17.65,0.0,11.76
1221113876604948480,"RT @BBCMonitoring: As the number of cases increases, conspiracy theorists spread rumours about the origins of the Wuhan #coronavirus
https:â€¦",21,99.0,82.96,1.0,25.77,21.0,33.33,57.14,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,19.05,0.0,4.76,4.76,0.0,0.0,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,9.52,0.0,4.76,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,4.76,4.76,0.0,0.0,28.57,0.0,4.76,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29
1221021417715773442,"RT @bbc5live: 'It was like a ghost town compared to what it usually is.'

The number of people who've died as a result of the #coronavirusâ€¦",26,97.95,77.92,1.4,25.77,13.0,15.38,84.62,57.69,11.54,0.0,0.0,0.0,0.0,0.0,0.0,11.54,15.38,19.23,7.69,3.85,3.85,0.0,11.54,7.69,11.54,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,0.0,3.85,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,3.85,0.0,7.69,0.0,3.85,3.85,0.0,0.0,0.0,0.0,0.0,7.69,3.85,0.0,3.85,3.85,0.0,0.0,30.77,3.85,0.0,3.85,0.0,0.0,0.0,0.0,0.0,11.54,0.0,11.54
1221016509708939264,RT @BBCNewsbeat: 23-year-old Lele is so scared of catching Coronavirus that she won't leave the house. It's already killed 17 people in herâ€¦,25,30.73,78.82,20.24,1.0,12.5,16.0,76.0,40.0,12.0,4.0,0.0,0.0,0.0,4.0,0.0,8.0,4.0,8.0,12.0,8.0,4.0,4.0,20.0,4.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,4.0,4.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,4.0,20.0,4.0,4.0,12.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,32.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0
1220881291920531461,Chinese diasporas on edge over coronavirus https://t.co/eRGXzyobg8,11,99.0,50.0,85.21,25.77,11.0,36.36,36.36,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,27.27,0.0,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,0.0,0.0,0.0,27.27,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18
1220760157136674816,Coronavirus: How is the Chinese city under lockdown coping with the outbreak? https://t.co/BHjiHAObeo,17,97.21,50.0,6.2,25.77,8.5,29.41,47.06,35.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,11.76,5.88,5.88,5.88,0.0,5.88,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,5.88,0.0,0.0,0.0,5.88,0.0,11.76,0.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,0.0,29.41,5.88,0.0,5.88,0.0,5.88,0.0,0.0,0.0,0.0,0.0,11.76
1220687495429591040,"RT @BBCSport: The threat of the Coronavirus is starting to affect sporting events. 

Full story ðŸ‘‰ https://t.co/McN0pVqw9L https://t.co/lOTZâ€¦",26,98.98,77.92,1.4,1.0,13.0,19.23,53.85,19.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,7.69,3.85,0.0,0.0,0.0,11.54,3.85,0.0,0.0,0.0,0.0,3.85,0.0,3.85,3.85,3.85,0.0,7.69,0.0,0.0,0.0,0.0,3.85,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,3.85,0.0,3.85,0.0,3.85,0.0,7.69,0.0,3.85,3.85,0.0,3.85,0.0,0.0,0.0,0.0,11.54,0.0,11.54,3.85,0.0,0.0,42.31,11.54,0.0,3.85,0.0,0.0,0.0,0.0,3.85,0.0,0.0,23.08
1220623171944112128," '""The world is more prepared than it\'s ever been before""\n\nHow does a virus spread and what happens when it does? Dr Rosalind Eggo explains\n\n",29,41.01,50.0,47.93,25.77,14.5,13.79,72.41,48.28,10.34,0.0,0.0,0.0,0.0,0.0,0.0,10.34,6.9,6.9,13.79,6.9,6.9,0.0,20.69,10.34,10.34,6.9,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,10.34,3.45,0.0,0.0,0.0,3.45,3.45,0.0,0.0,0.0,0.0,6.9,0.0,3.45,0.0,3.45,3.45,0.0,0.0,3.45,0.0,0.0,3.45,17.24,3.45,13.79,0.0,3.45,10.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48,0.0,0.0,0.0,0.0,3.45,0.0,0.0,6.9,6.9,0.0,17.24
1220617438494064640,"RT @BBCNewsbeat: 'Iâ€™m terrifiedâ€¦ it's way out of control'

""Lele"" should be celebrating Chinese Lunar New Year with her family but she's woâ€¦",24,50.33,95.2,1.79,25.77,24.0,20.83,66.67,37.5,12.5,8.33,0.0,0.0,0.0,8.33,0.0,4.17,0.0,12.5,16.67,0.0,4.17,0.0,16.67,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83,4.17,0.0,8.33,0.0,12.5,0.0,4.17,4.17,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,8.33,4.17,4.17,0.0,0.0,0.0,12.5,0.0,16.67,0.0,8.33,8.33,0.0,8.33,4.17,0.0,0.0,0.0,4.17,0.0,4.17,4.17,0.0,0.0,41.67,0.0,0.0,4.17,0.0,0.0,0.0,0.0,8.33,16.67,0.0,12.5
1230835466905276416,"RT @NewDay: CNN gained rare access to a field hospital in Wuhan, China, the epicenter of the coronavirus outbreak, which reveals the dire câ€¦",24,99.0,66.17,1.79,25.77,24.0,20.83,58.33,33.33,4.17,0.0,0.0,0.0,0.0,0.0,0.0,4.17,16.67,12.5,0.0,0.0,0.0,0.0,0.0,4.17,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,4.17,4.17,0.0,0.0,0.0,0.0,0.0,4.17,4.17,0.0,0.0,4.17,0.0,4.17,0.0,0.0,8.33,0.0,4.17,0.0,8.33,0.0,0.0,0.0,0.0,4.17,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,4.17,4.17,0.0,0.0,25.0,0.0,12.5,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33
1230781996227493893," 'Weeks after the novel coronavirus crisis began in December, there is still widespread confusion over the exact number of cases reported in China and whether the epidemic is finally stabilizing. ",30,95.84,36.95,98.01,25.77,30.0,30.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.67,6.67,10.0,6.67,0.0,10.0,3.33,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.33,3.33,3.33,0.0,0.0,0.0,0.0,3.33,0.0,3.33,0.0,0.0,6.67,0.0,0.0,3.33,0.0,3.33,3.33,6.67,0.0,30.0,0.0,10.0,20.0,3.33,3.33,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0
1230708754473054209," ""From shopping to eating out, virus control measures â€” such as temperature checks â€” are still having an impact on everyday life in Shanghai, China's economic juggernaut. ",27,96.08,50.0,33.94,25.77,27.0,29.63,62.96,44.44,3.7,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.7,22.22,7.41,7.41,3.7,0.0,11.11,3.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,3.7,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,7.41,0.0,3.7,0.0,3.7,3.7,0.0,0.0,3.7,0.0,0.0,0.0,3.7,0.0,18.52,0.0,11.11,7.41,3.7,3.7,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.93,3.7,7.41,0.0,0.0,0.0,0.0,0.0,11.11,3.7,0.0,0.0
1230580407793524741," 'One day after announcing the expulsion of three Wall Street Journal reporters from China, the Chinese foreign ministry is standing by its decision, saying people who ""maliciously smear China must pay their price."" ",33,95.64,88.71,6.95,25.77,33.0,30.3,69.7,33.33,9.09,3.03,0.0,0.0,0.0,0.0,3.03,6.06,6.06,12.12,6.06,0.0,0.0,0.0,9.09,3.03,3.03,3.03,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12,0.0,0.0,0.0,0.0,6.06,3.03,0.0,3.03,0.0,3.03,0.0,3.03,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,12.12,0.0,6.06,6.06,6.06,0.0,0.0,6.06,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,3.03,6.06,0.0,0.0,0.0,0.0,0.0,6.06,3.03,0.0,0.0
1230519411884396544," 'Maersk, the world\'s largest container shipping company, has warned of a ""very weak"" start to the year as the coronavirus keeps factories shuttered in China and dents demand for the transport of goods. ",34,99.0,61.58,47.25,1.0,34.0,23.53,76.47,41.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.71,17.65,2.94,2.94,5.88,0.0,8.82,8.82,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,2.94,0.0,0.0,11.76,0.0,0.0,8.82,0.0,2.94,0.0,8.82,0.0,20.59,2.94,11.76,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53,2.94,5.88,0.0,0.0,0.0,0.0,0.0,5.88,5.88,0.0,2.94
1230516109545213953," 'One day after announcing the expulsion of three Wall Street Journal reporters from China, the Chinese foreign ministry is standing by its decision, saying people who ""maliciously smear China must pay their price."" ",33,95.64,88.71,6.95,25.77,33.0,30.3,69.7,33.33,9.09,3.03,0.0,0.0,0.0,0.0,3.03,6.06,6.06,12.12,6.06,0.0,0.0,0.0,9.09,3.03,3.03,3.03,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12,0.0,0.0,0.0,0.0,6.06,3.03,0.0,3.03,0.0,3.03,0.0,3.03,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,12.12,0.0,6.06,6.06,6.06,0.0,0.0,6.06,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,3.03,6.06,0.0,0.0,0.0,0.0,0.0,6.06,3.03,0.0,0.0
1230498304498249729,RT @NewDay: A woman is protecting herself and her granddaughter with coronavirus cases on floors above and below her. Another has â€œstartedâ€¦,23,71.39,99.0,1.0,25.77,11.5,26.09,78.26,56.52,17.39,13.04,0.0,0.0,0.0,13.04,0.0,4.35,4.35,17.39,8.7,0.0,8.7,0.0,8.7,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,26.09,4.35,0.0,21.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,0.0,0.0,8.7,0.0,4.35,0.0,8.7,0.0,17.39,0.0,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,4.35,4.35,0.0,0.0,17.39,4.35,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7
1230432345708277766," 'One day after announcing the expulsion of three Wall Street Journal reporters from China, the Chinese foreign ministry is standing by its decision, saying people who ""maliciously smear China must pay their price."" ",33,95.64,88.71,6.95,25.77,33.0,30.3,69.7,33.33,9.09,3.03,0.0,0.0,0.0,0.0,3.03,6.06,6.06,12.12,6.06,0.0,0.0,0.0,9.09,3.03,3.03,3.03,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12,0.0,0.0,0.0,0.0,6.06,3.03,0.0,3.03,0.0,3.03,0.0,3.03,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,12.12,0.0,6.06,6.06,6.06,0.0,0.0,6.06,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,3.03,6.06,0.0,0.0,0.0,0.0,0.0,6.06,3.03,0.0,0.0
1230394192356134912," 'Weeks into the novel coronavirus crisis, the outbreak finally appears to be stabilizing in central China, where the virus was initially detected before it spread throughout the country and the world. ",31,99.0,50.0,96.96,25.77,31.0,32.26,77.42,51.61,3.23,0.0,0.0,0.0,0.0,0.0,0.0,3.23,16.13,16.13,6.45,6.45,3.23,0.0,9.68,3.23,3.23,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,3.23,0.0,0.0,3.23,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,3.23,3.23,6.45,0.0,32.26,0.0,19.35,12.9,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,3.23,6.45,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0
1230223054460116994, 'The Trump administration is poised to give a GE joint venture the green light to continue exporting jet engines to China -- despite national security concerns raised by some US officials ,30,99.0,74.76,3.37,84.54,30.0,33.33,63.33,33.33,3.33,3.33,0.0,3.33,0.0,0.0,0.0,0.0,10.0,16.67,3.33,0.0,0.0,0.0,6.67,6.67,0.0,0.0,0.0,3.33,3.33,3.33,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,3.33,0.0,3.33,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,3.33,0.0,6.67,0.0,3.33,0.0,10.0,0.0,6.67,0.0,3.33,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,3.33,0.0,0.0
