case,province,7
case,add,3
case,also,4
case,travel,2
case,prime,3
case,minister,7
case,johnson,2
case,restriction,5
case,seven,8
case,release,2
case,around,4
case,organization,4
case,work,1
case,transmission,4
case,make,3
case,may,10
case,xinhua,6
case,non,2
case,business,3
case,still,4
case,relate,2
case,next,3
case,nation,4
case,wife,2
case,hospital,4
case,try,2
case,get,2
case,look,4
case,track,4
case,white,2
case,house,2
case,remain,7
case,large,3
case,three,9
case,five,9
case,test,11
case,nearly,7
case,anti,1
case,come,1
case,holiday,1
case,potential,1
case,contact,2
case,negative,2
case,import,20
case,beijing,5
case,die,1
case,fight,2
case,jinping,2
case,ban,3
case,foreign,3
case,level,1
case,least,1
case,big,4
case,another,2
case,general,1
case,election,1
case,international,1
case,train,1
case,infect,2
case,director,1
case,risk,1
case,medical,1
case,doctor,1
case,warn,1
case,part,2
case,epidemic,1
case,return,1
case,leader,2
case,call,1
case,vaccine,1
case,development,1
case,headline,1
case,contain,1
coronavirus,infection,22
coronavirus,high,12
coronavirus,since,23
coronavirus,see,23
coronavirus,number,15
coronavirus,expert,7
coronavirus,covid,29
coronavirus,confirm,13
coronavirus,surpass,8
coronavirus,one,21
coronavirus,million,22
coronavirus,week,7
coronavirus,many,5
coronavirus,health,48
coronavirus,worker,5
coronavirus,death,28
coronavirus,africa,2
coronavirus,mark,4
coronavirus,world,23
coronavirus,say,36
coronavirus,germany,4
coronavirus,minister,15
coronavirus,test,41
coronavirus,positive,25
coronavirus,local,8
coronavirus,medium,6
coronavirus,report,46
coronavirus,expect,6
coronavirus,dos,6
coronavirus,end,4
coronavirus,year,12
coronavirus,china,21
coronavirus,vaccine,16
coronavirus,development,6
coronavirus,force,9
coronavirus,add,6
coronavirus,next,8
coronavirus,organization,9
coronavirus,call,2
coronavirus,african,6
coronavirus,country,31
coronavirus,pandemic,22
coronavirus,despite,5
coronavirus,register,9
coronavirus,past,7
coronavirus,day,24
coronavirus,set,6
coronavirus,restriction,8
coronavirus,come,2
coronavirus,authority,12
coronavirus,get,5
coronavirus,second,9
coronavirus,wave,7
coronavirus,italy,10
coronavirus,record,14
coronavirus,new,56
coronavirus,outbreak,12
coronavirus,begin,8
coronavirus,prime,10
coronavirus,crisis,6
coronavirus,amid,9
coronavirus,national,15
coronavirus,become,3
coronavirus,fight,6
coronavirus,united,5
coronavirus,state,15
coronavirus,study,6
coronavirus,find,6
coronavirus,three,6
coronavirus,potential,5
coronavirus,hope,2
coronavirus,spread,13
coronavirus,follow,8
coronavirus,president,30
coronavirus,face,7
coronavirus,russia,5
coronavirus,hour,16
coronavirus,bring,5
coronavirus,total,15
coronavirus,accord,22
coronavirus,statement,2
coronavirus,response,2
coronavirus,center,7
coronavirus,leader,4
coronavirus,diagnosis,4
coronavirus,brazil,8
coronavirus,side,4
coronavirus,self,2
coronavirus,quarantine,4
coronavirus,contact,6
coronavirus,cause,4
coronavirus,novel,10
coronavirus,last,8
coronavirus,ministry,11
coronavirus,join,3
coronavirus,global,13
coronavirus,foreign,6
coronavirus,another,6
coronavirus,surge,9
coronavirus,pass,6
coronavirus,among,2
coronavirus,white,18
coronavirus,house,20
coronavirus,trump,24
coronavirus,announce,12
coronavirus,rise,11
coronavirus,least,4
coronavirus,people,15
coronavirus,infect,4
coronavirus,warn,7
coronavirus,public,10
coronavirus,official,14
coronavirus,stay,3
coronavirus,try,6
coronavirus,could,6
coronavirus,four,4
coronavirus,contract,3
coronavirus,news,5
coronavirus,cite,4
coronavirus,government,10
coronavirus,approve,2
coronavirus,measure,8
coronavirus,top,9
coronavirus,india,3
coronavirus,make,3
coronavirus,walter,5
coronavirus,reed,5
coronavirus,medical,7
coronavirus,return,4
coronavirus,continue,5
coronavirus,risk,7
coronavirus,doctor,9
coronavirus,take,6
coronavirus,may,9
coronavirus,start,3
coronavirus,ban,4
coronavirus,work,3
coronavirus,order,2
coronavirus,non,4
coronavirus,business,3
coronavirus,school,3
coronavirus,york,6
coronavirus,close,3
coronavirus,relate,7
coronavirus,show,9
coronavirus,nation,4
coronavirus,first,13
coronavirus,time,10
coronavirus,use,4
coronavirus,life,5
coronavirus,cancel,4
coronavirus,due,8
coronavirus,virus,2
coronavirus,wife,6
coronavirus,also,4
coronavirus,hospital,5
coronavirus,travel,4
coronavirus,open,2
coronavirus,detect,3
coronavirus,member,5
coronavirus,presidential,4
coronavirus,candidate,2
coronavirus,joe,5
coronavirus,negative,9
coronavirus,five,4
coronavirus,late,5
coronavirus,lady,2
coronavirus,recovery,6
coronavirus,remain,5
coronavirus,raise,4
coronavirus,toll,7
coronavirus,support,3
coronavirus,clinical,2
coronavirus,trial,4
coronavirus,still,2
coronavirus,two,5
coronavirus,month,9
coronavirus,continent,2
coronavirus,free,2
coronavirus,patient,2
coronavirus,disease,2
coronavirus,challenge,2
coronavirus,increase,5
coronavirus,xinhua,5
coronavirus,economy,5
coronavirus,region,3
coronavirus,hit,4
coronavirus,hard,4
coronavirus,anti,2
coronavirus,level,1
