text;favorite_count;media;periode
A man in Shandong, China has created a sand painting to salute heroes involved in the battle against #coronavirus.… https://t.co/oxP8NaJ0eV;627;XHNews;JanFeb2020
 'A man in Shandong, China has created a sand painting to salute heroes involved in the battle against #coronavirus. #pneumonia ;627;XHNews;JanFeb2020
LIVE: Thousands of workers are racing against the time to construct Huoshenshan Hospital in Wuhan. The facility is… https://t.co/7rHBlFLIPa;626;XHNews;JanFeb2020
" ""A 7-month-old baby infected with the novel #coronavirus has been discharged from hospital after recovery in central China's Hunan Province. ";626;CGTNOfficial;JanFeb2020
 'Huoshenshan Hospital, the first #SARS treatment-model hospital in Wuhan, is to receive patients on Monday. #coronavirus #pneumonia ;613;XHNews;JanFeb2020
Huoshenshan Hospital, the first #SARS treatment-model hospital in Wuhan, is to receive patients on Monday.… https://t.co/ZLOfTGTUh0;613;XHNews;JanFeb2020
 'People across China anonymously ordered takeout food to medical staff on the frontline of battling #CoronavirusVirus in #Wuhan on the eve of Chinese New Year to extend their support and gratitude #StandWithWuhan ;612;CGTNOfficial;JanFeb2020
 'LIVE: A #SARS treatment model hospital in Wuhan receives first patients. The Huoshenshan Hospital was put into use after 10 days of construction #pneumonia #coronavirus ;609;XHNews;JanFeb2020
LIVE: A #SARS treatment model hospital in Wuhan receives first patients. The Huoshenshan Hospital was put into use… https://t.co/IihPgAG0k6;609;XHNews;JanFeb2020
Xi inspects southern China's Guangdong Province https://t.co/YdwMQXHK74 https://t.co/PR0M45tKpY;608;XHNews;SeptOct2020
Watch how China builds a hospital in 10 days in Wuhan https://t.co/OzRLTlXTDt;605;XHNews;JanFeb2020
Stunning aerial view of the dense Century City community in southwest China's Guiyang https://t.co/PvTRrNtuNP;605;XHNews;JanFeb2020
 'LIVE: The 2nd SARS treatment-model hospital is to be put into use in Wuhan. The Leishenshan Hospital is expected to accommodate 1,600 beds. #coronavirus ;599;XHNews;JanFeb2020
LIVE: The 2nd SARS treatment-model hospital is to be put into use in Wuhan. The Leishenshan Hospital is expected to… https://t.co/7Fu7s26uRX;599;XHNews;JanFeb2020
" ""Wuhan is following Beijing's #SARS treatment model, building a special hospital for admitting patients infected in the outbreak of pneumonia caused by novel coronavirus ";594;XHNews;JanFeb2020
Wuhan is following Beijing's #SARS treatment model, building a special hospital for admitting patients infected in… https://t.co/7PfMlzQReF;594;XHNews;JanFeb2020
" ""The #CoronavirusOutbreak in China is forcing many countries to stop the trade in wild animals. \n\nIn #Indonesia, the government is trying to enforce strict regulations to stop the practice but it's not that easy. ";582;CGTNOfficial;JanFeb2020
A hospital has been built in Wuhan in 10 days to accommodate #coronavirus patients. How did China make it? https://t.co/A9u82X9Uno;576;XHNews;JanFeb2020
Live: Medics from various places including Tianjin municipalities, Jilin Province, help combat #coronavirus in Wuhan https://t.co/Zt3E0BfZIZ;576;CGTNOfficial;JanFeb2020
Live: Constructions underway for makeshift hospitals to admit novel #coronavirus patients #Wuhan https://t.co/c1gcHq8J3W;567;CGTNOfficial;JanFeb2020
Amid a novel #coronavirus outbreak, robots are deployed to deliver meals to travelers in isolation at a hotel in Ha… https://t.co/7yBhRzkmc8;567;XHNews;JanFeb2020
" ""H5N1 bird flu detected in Shaoyang, central China's Hunan Province, with 4,500 chickens infected, according to country's Ministry of Agriculture ";567;CGTNOfficial;JanFeb2020
 'Amid a novel #coronavirus outbreak, robots are deployed to deliver meals to travelers in isolation at a hotel in Hangzhou, China. #pneumonia ;567;XHNews;JanFeb2020
Chinese companies provide all-round support for coronavirus hospital #CoronavirusOutbreak https://t.co/KQgMqApWnb;566;CGTNOfficial;JanFeb2020
 'To protect themselves from the novel #coronavirus, some in China are wearing creative and entertaining costumes when they venture outside. ;558;CGTNOfficial;JanFeb2020
Well-equipped 3D-printed houses were put into use for quarantined patients in a hospital in Xianning, a city neighb… https://t.co/fvOh8a6No8;557;XHNews;JanFeb2020
 'More than 27 million #Chinese watch real-time feed on the construction work of new #coronavirus hospitals online. \n\nYou can also watch it by clicking here: ;552;CGTNOfficial;JanFeb2020
Video: #Wuhan's second coronavirus hospital expanded to accommodate 1,600 beds https://t.co/OUaKWlpBr7;539;CGTNOfficial;JanFeb2020
 'A 78-year-old #coronavirus patient has recovered and been discharged from hospital. \n\nHe had a fever of 39.4 degrees Celsius, but was later cured and approved to return home. ;534;CGTNOfficial;JanFeb2020
" '""The Pandora\'s box has been opened, unleashing disaster, fear and illness. But there could be one thing still left in the box. That is hope,"" Dr. Tang Xin told our reporter. \n\nCGTN\'s Ge Yunfei visits a special ward for critically ill #coronavirus patients in Wuhan. ";524;CGTNOfficial;JanFeb2020
What could you achieve in just two weeks? China built two hospitals, housing 2,600 beds, in #Wuhan to help treat… https://t.co/ujayZfuoGq;524;XHNews;JanFeb2020
 'What could you achieve in just two weeks? China built two hospitals, housing 2,600 beds, in #Wuhan to help treat #coronavirus patients. Check out this video to find out #HowChinaCan ;524;XHNews;JanFeb2020
" 'An elderly couple, aged 79 and 75 who were admitted into ICU units for #coronavirus infections, recently recovered and have been discharged from hospital.\n\n""Now that we have escaped death, we plan to be together for another 20 years."" ";524;CGTNOfficial;JanFeb2020
 'Japan reveals the nationalities of the 542 people from 25 countries confirmed with the #coronavirus onboard #DiamondPrincess: \n\xa0\n🇯🇵Japan: 247\n🇺🇸U.S.: 77\n🇨🇳China: 46\n🇨🇦Canada: 45\n🇧🇪Belgium: 43\n🇦🇺Australia: 37\n🇬🇧UK: 8\n\xa0\n24 are in critical condition ;514;CGTNOfficial;JanFeb2020
A glimpse at Huoshenshan Hospital during the last two days of construction. The facility is the first #SARS treatme… https://t.co/9Ma3dTyMdo;513;XHNews;JanFeb2020
 'A glimpse at Huoshenshan Hospital during the last two days of construction. The facility is the first #SARS treatment-model hospital in Wuhan and will receive patients Monday. #coronavirus #pneumonia ;513;XHNews;JanFeb2020
One-minute video: How China built Leishenshan Hospital in 10 days #coronavirus https://t.co/uJINcFYzCQ;510;CGTNOfficial;JanFeb2020
Amazing water wheels in China https://t.co/JNJVnzl3Ov;509;XHNews;JanFeb2020
Baby learns to climb at home during #coronavirus epidemic https://t.co/gsznxc24RJ;502;CGTNOfficial;JanFeb2020
"""We are like a family."" A #coronavirus patient films the daily life inside a makeshift hospital in Wuhan, China.… https://t.co/HsGatSYRLb";499;XHNews;JanFeb2020
" '""We are like a family."" A #coronavirus patient films the daily life inside a makeshift hospital in Wuhan, China. #StayStrongChina ";499;XHNews;JanFeb2020
Medical teams from across China have rushed to Wuhan to aid the #coronavirus control. #pneumonia https://t.co/LxIqvyiadR;498;XHNews;JanFeb2020
 'First recovered patient donates plasma in Wuhan.\n\nEarlier, experts say that antibodies have been identified in the plasma of some #COVID19 patients, which can help fight against the new #coronavirus. ;495;CGTNOfficial;JanFeb2020
Medical workers shave their heads in battle against #coronavirus https://t.co/nqkgEH46v2;494;CGTNOfficial;JanFeb2020
 'As one of the emergency hospitals in Wuhan built in response to the novel #coronavirus, the now completed Huoshenshan Hospital has been put into use Monday. \n\nCGTN went to the construction site and talked with workers who have witnessed the shockingly rapid progress. ;493;CGTNOfficial;JanFeb2020
A Chinese girl recently visited on-duty police at a local virus control checkpoint in north China. She brought boxe… https://t.co/L7TjV0htsb;488;XHNews;JanFeb2020
China fast-tracks novel coronavirus vaccine development, samples will take no more than 40 days to manufacture… https://t.co/2r3bkgtv4i;479;XHNews;JanFeb2020
 'China fast-tracks novel coronavirus vaccine development, samples will take no more than 40 days to manufacture ;478;XHNews;JanFeb2020
#ICYMI #Wuhan's Huoshenshan Hospital nears completion https://t.co/NhRiyXNyeP;477;CGTNOfficial;JanFeb2020
A disinfection passage in China's Shanghai can kill 99% of viruses in 20 seconds to help battle the #coronavirus ou… https://t.co/4MTaLSYKRD;474;XHNews;JanFeb2020
" ""A disinfection passage in China's Shanghai can kill 99% of viruses in 20 seconds to help battle the #coronavirus outbreak ";474;XHNews;JanFeb2020
" 'A Chinese dance teacher designs ""hand-washing dance"" amid a #coronavirus outbreak, to highlight the importance of washing hands properly. #pneumonia ";472;XHNews;JanFeb2020
In China's battle against the coronavirus outbreak, President Xi Jinping has been personally directing and making a… https://t.co/cHgo5snpiv;470;XHNews;JanFeb2020
" ""In China's battle against the coronavirus outbreak, President Xi Jinping has been personally directing and making arrangements. Watch what the Chinese leader has done in the fight against the virus. #FightVirus ";470;XHNews;JanFeb2020
